"FIPS","MetricYear","Prsns_25plus","Prsns_less_HS","Prsns_HS_or_More","Prsns_4plus_Yrs_Clg","HH_INC_Under_10K","HH_INC__10K_to_14999","HH_INC__15K_to_24999","HH_INC__25K_to_49999","HH_INC__50K_to_99999","HH_INC__100000_Plus","Hhld_SSI","Tot_Civ_Lbr","Emplyd_Civ_Lbr","Unemplyd_Civ_Lbr","N_AgrFrstFishHuntMine_Wkrs","N_Construction_Wrkrs","N_EducHlthCreSocAsst_Wrkrs","N_Manufacturing_Wrkrs","N_Othr_Ind","P_AgrFrstFishHuntMine_Wkrs","P_Construction_Wrkrs","P_EducHlthCreSocAsst_Wrkrs","P_Manufacturing_Wrkrs","P_Othr_Ind","Num_Wrkrs_Priv","Num_Wrkrs_Govt","Num_Wrkrs_Fed","Num_Wrkrs_State","Num_Wrkrs_Local","Num_Wrkrs_Selfemplyd","Num_Wrks_16_Plus","Num_Unpaid_Fam_Wrkrs","Tot_Civ_Lbr (#1)","Emplyd_Civ_Lbr (#1)","Unemplyd_Civ_Lbr (#1)","FEM_Civ_Lbr","Emplyd_FEM_Civ_Lbr","Unemplyd_FEM_Civ_Lbr","P_Prsns_Below_Pov","N_Prsns_Below_Pov","Hhld_PUB_Asst","Prsns_25plus (#1)","Prns_INC_POV_Less_50P","Prns_INC_POV_50P_to_99P","Prns_INC_POV_100P_to_124P","Prns_INC_POV_125P_to_149P","Prns_INC_POV_150P_to_184P","Prns_INC_POV_185P_to_199P","Prns_INC_POV_200P_Plus"
21079,2016,12311.5,2388,9923.5,1971,591.5,312.5,939.5,1703,2396.5,1147.5,417,8051.5,7439.5,612,153.5,978.5,1884,935,3500,2.05,13.149999999999999,25.2,12.55,47,5642,950.5,210,366,374.5,836.5,7439.5,10.5,8051.5,7439.5,612,3890,3628.5,261.5,16.45,2831,80,,1034,1797,761.5,511,1550,400.5,11154
21079,2017,12432,2372,10060,2026,606,283,919,1696,2513,1239,365,8051,7540,511,153,1025,1884,924,3577,2,13.599999999999998,24.7,12.200000000000001,47.400000000000006,5690,897,222,346,329,939,7540,14,8051,7540,511,3920,3700,220,14.7,2557,60,,1047,1510,671,429,1688,373,11615
21079,2018,12552.5,2356,10196.5,2081,620.5,253.5,898.5,1689,2629.5,1330.5,313,8050.5,7640.5,410,152.5,1071.5,1884,913,3654,1.95,14.049999999999997,24.2,11.850000000000001,47.80000000000001,5738,843.5,234,326,283.5,1041.5,7640.5,17.5,8050.5,7640.5,410,3950,3771.5,178.5,12.95,2283,40,,1060,1223,580.5,347,1826,345.5,12076
21081,2010,15423,2711,12712,1915.5,569.5,696,730.5,2528.5,2796.5,536,631,10962.5,9906,1056.5,299.5,813,1506,2412,4418,3,8.2,19.5,24.25,44.89999999999999,7644.5,1842.5,277.5,1048.5,516.5,426.5,9906,0,10962.5,9906,1056.5,4872,4301,571,13.749999999999996,3311,178.5,,2090,1221,821.5,1442.5,1455.5,1286,15669
21081,2011,15520,2721,12799,1927,585,673,844,2465,2725,721,625,10962,10009,953,281,779,1506,2419,4658,2.8,7.8,18.5,24.1,46.699999999999996,7878,1714,268,905,541,422,10009,0,10962,10009,953,4891,4377,514,15.299999999999997,3689,194,,2294,1395,946,1412,1534,1246,15198
21081,2012,15617,2731,12886,1938.5,600.5,650,957.5,2401.5,2653.5,906,619,10961.5,10112,849.5,262.5,745,1506,2426,4898,2.5999999999999996,7.4,17.5,23.950000000000003,48.5,8111.5,1585.5,258.5,761.5,565.5,417.5,10112,0,10961.5,10112,849.5,4910,4453,457,16.849999999999998,4067,209.5,,2498,1569,1070.5,1381.5,1612.5,1206,14727
21081,2013,15714,2741,12973,1950,616,627,1071,2338,2582,1091,613,10961,10215,746,244,711,1506,2433,5138,2.4,7,16.5,23.8,50.3,8345,1457,249,618,590,413,10215,0,10961,10215,746,4929,4529,400,18.4,4445,225,,2702,1743,1195,1351,1691,1166,14256
21081,2014,15811,2751,13060,1961.5,631.5,604,1184.5,2274.5,2510.5,1276,607,10960.5,10318,642.5,225.5,677,1506,2440,5378,2.2,6.6,15.5,23.65,52.099999999999994,8578.5,1328.5,239.5,474.5,614.5,408.5,10318,2.5,10960.5,10318,642.5,4948,4605,343,19.95,4823,240.5,,2906,1917,1319.5,1320.5,1769.5,1126,13785
21081,2015,15908,2761,13147,1973,647,581,1298,2211,2439,1461,601,10960,10421,539,207,643,1506,2447,5618,2,6.2,14.5,23.5,53.9,8812,1200,230,331,639,404,10421,5,10960,10421,539,4967,4681,286,21.5,5201,256,,3110,2091,1444,1290,1848,1086,13314
21081,2016,16005,2771,13234,1984.5,662.5,558,1411.5,2147.5,2367.5,1646,595,10959.5,10524,435.5,188.5,609,1506,2454,5858,1.8,5.800000000000001,13.5,23.35,55.7,9045.5,1071.5,220.5,187.5,663.5,399.5,10524,7.5,10959.5,10524,435.5,4986,4757,229,23.05,5579,271.5,,3314,2265,1568.5,1259.5,1926.5,1046,12843
21081,2017,16102,2781,13321,1996,678,535,1525,2084,2296,1831,589,10959,10627,332,170,575,1506,2461,6098,1.6,5.4,12.5,23.2,57.5,9279,943,211,44,688,395,10627,10,10959,10627,332,5005,4833,172,24.6,5957,287,,3518,2439,1693,1229,2005,1006,12372
21081,2018,16199,2791,13408,2007.5,693.5,512,1638.5,2020.5,2224.5,2016,583,10958.5,10730,228.5,151.5,541,1506,2468,6338,1.4000000000000001,5,11.5,23.049999999999997,59.3,9512.5,814.5,201.5,-99.5,712.5,390.5,10730,12.5,10958.5,10730,228.5,5024,4909,115,26.150000000000002,6335,302.5,,3722,2613,1817.5,1198.5,2083.5,966,11901
21083,2010,25622.5,4829,20793.5,4873.5,1208.5,1259,2338.5,4287,3922,1511.5,1004,17219.5,16108.5,1111,1125,1025,3761,2738,6994.5,6.999999999999999,6.25,26.249999999999996,16.850000000000005,43.400000000000006,12301.5,2121,377,518.5,1225.5,1674.5,16108.5,11.5,17219.5,16108.5,1111,7707,7129,578,14.450000000000003,5302.5,309,,2710.5,2592,2320,1436.5,3506,803.5,23574.5
21083,2011,25543,4696,20847,4717,1288,1217,2284,4173,3912,1607,983,17170,16019,1151,995,1038,3761,2678,7175,6.199999999999999,6.4,25.799999999999997,16.6,44.800000000000004,12267,2169,361,592,1216,1573,16019,10,17170,16019,1151,7776,7186,590,15.400000000000002,5649,294,,2692,2957,2395,1554,3228,819,23237
21083,2012,25463.5,4563,20900.5,4560.5,1367.5,1175,2229.5,4059,3902,1702.5,962,17120.5,15929.5,1191,865,1051,3761,2618,7355.5,5.3999999999999995,6.550000000000001,25.349999999999998,16.35,46.2,12232.5,2217,345,665.5,1206.5,1471.5,15929.5,8.5,17120.5,15929.5,1191,7845,7243,602,16.35,5995.5,279,,2673.5,3322,2470,1671.5,2950,834.5,22899.5
